input,actual_output,expected_output,retrieval_context,context,source_file
"Каков химический состав кости, включая минеральные и органические компоненты, и как они влияют на ее структуру и прочность?",,,"Начальные признаки старения в костях проявляются в виде появления на пе­ риферии суставных поверхностей костных выступов краевых остеофитов. Для кисти они наиболее типичны в области головок средних фаланг. Позже остеофиты появляются у основания средних и дистальных фаланг пальцев. Рост и старение кос­ тей зависит от многих факторов - как состояния самого организма (образа жизни), так и влияния внешней среды.

## Вопросы для повторения и самоконтроля

- 1. Назовите функции опорно-двигательного аппарата.
- 2. Что такое осевой и добавочный скелет?
- 3. Что такое мягкий скелет?
- 4. Расскажите о классификации костей и приведите примеры.
- 5. Каков химический состав кости?
- 6. Что такое остеон и как он устроен?
- 7. Назовите функции и особенности строения надкостницы.
- 8. Какие существуют способы остеогенеза?

## КОСТИ ТУЛОВИЩА|Кости отличаются значительной пластичностью. Их форма может изменяться под действием физиче­ ских нагрузок, что связано с увеличением или умень­ шением количества остеонов, изменением толщины костных пластинок компактного и губчатого вещества. Для оптимального развития кости наиболее предпо­ чтительны умеренные регулярные физические нагруз­ ки.  Сидячий образ жизни и пониженная физическая активность способствуют ослаблению и истончению кости.  Кость приобретает крупноячеистое строение и даже частично рассасывается (резорбция кости, остеопороз).

## Развитие и рост костей|Черепная коробка образована костными пластинками, содержащими губчатое  вещество в  центре,  покрытое двумя мощными кортикальными пластинками, наружной (эпикраниальной) и внутренней (эндокраниальной).  На уровне основания  черепа эти  пластинки  объединяются с более мощными элементами, образуя связи с лицевым скелетом и шейным отделом позвоночника.

Черепная  коробка овальной формы,  образована 6 костными пластинами:|Скелет проходит соединительнотканную (перепон­ чатую), хрящевую и костную стадии развития костей. Выделяют две группы костей, различающиеся по про­ исхождению. Одни кости формируются непосредствен­ но на основе соединительной ткани, минуя хрящевую стадию ( перепончатый остеогенез). Так развиваются кости свода черепа. Другие же кости проходят пере­ пончатую и хрящевую стадии ( хрящевой остеогенез). На основе хрящевой модели образуются кости тулови­ ща, конечностей и основания черепа.|Костные  швы, которые  сочленяют  друг  с  другом кости  черепа  (рис.  2),  имеют крайне  извилистые рисунки, которые  после закрытия (рис.  3)  отражают все  движения плоскости  костных  пластин. Сравнение  с головоломкой-пазлом (рис.  4)  показывает связь  между  костями,  как  между  элементами  головоломки  (рис. 5),  при  условии,  что  они остаются в одной плоскости , т.е., например, на  столе. Это разумное  объяснение,  которое  позволяет  классическим  анатомам  сказать,  что  швы абсолютно лишены  подвижности.",,
Как положение шейного отдела у собак влияет на расположение затылочного отверстия по сравнению с человеком?,,,"Череп  гоминидов,  в  частности  высших  приматов, и  особенно  человека,  представляет  собой  характерную структуру, возникшую в результате перехода к вертикальному  положению. У  животных,  например у собак (рис.  10,  синий  контур -  черепная  коробка, красный  -  лицевой  скелет),  хождение  на  четырех конечностях приводит к почти горизонтальному положению  шейного  отдела  позвоночника,  откуда следует нижнезаднее расположение затылочного отверстия.  В  противовес  этому  у прямоходящих и человека (рис.  11) в ходе эволюции произошло смещение большого затылочного отверстия в передненижнее  положение, и  оно  находится непосредственно под черепной коробкой.

## Череп и лицевой скелет|Таким  образом,  голова  представляет  собой  великолепный  пример функциональной  интеграции. Также голова  имеет суставы,  височно-нижнечелюстные, а еще мышцы особенного строения.  Мышцы, выражающие мимику, которые  являются  инструментом второй  системы  коммуникации, почти интернациональной, включающей и  язык.

## Поле зрения и локализация звуков

Голова расположена на вершине шейного отдела позвоночника,  что  позволяет ей поворачиваться  почти  на  180°. Это  огромное  преимущество для  увеличения эффективности зрения и слуха.  Это вращение позволяет располагать голову таким образом, чтобы органы  чувств  находились  в  направлении  источника сигнала без необходимости  двигать все тело. Подобное  преимущество  неведомо  животным,  не  имеющим  шеи,  например рыбам.

## Поле  зрения|Поле  зрения (рис.  15)  в  срединном  положении  (А) достигает  примерно  160°  (а).  Поле  зрения  каждого глаза  накладывается  друг  на  друга  впереди  головы, создавая сектор  стереоскопического  зрения, в  котором  могут  работать  руки.  Если  повернуть  голову  (L),  например,  направо  id)  или  налево (g),  общее поле  зрения (Т)  увеличится  до 270°, хотя  все-таки останется  только задний  мертвый  угол (Р)  в  90°. Чтобы увидеть что-либо,  находящееся  внутри  этого мертвого  угла,  нужно  повернуться  всем  телом.  Некоторые животные с очень длинной шеей,  например жирафы,  обладают  полем  зрения  в  360°  благодаря всего лишь  повороту  своей  шеи...

## Локализация  звуков

Нахождение  источника  звука (рис.  16  и  17 осуществляется благодаря боковому расположению ушей, отделенных  друг  от  друга черепом. Источник  звука,  расположенный вне  плоскости  симметрии (рис.  16),  прокладывает путь звука по-разному к  каждому уху.|Подвижность  головы,  обеспеченная шейным  отделом позвоночника, позволяет направлять в нужном  направлении  органы  чувств и  повышать их  эффективность. В черепной  коробке мозжечок является  главным  элементом  координации  и  сбора команд,  приходящих  из  всего  мозга.  Головной  мозг принимает решения , мозжечок позволяет им исполняться.

Кроме  того,  голова  содержит два  входных  отверстия (рис. 14): рот для пищи и нос для воздуха.

Рот очень  разумно  расположен под носом, обеспечивая первый  контроль запаха  пищи перед  ее проглатыванием. Второй  контроль обеспечивается вкусом, который,  определяя  химическую  природу продукта,  может  интуитивно  или  благодаря  некоторому  опыту  предотвратить  проглатывание  вредных|Шейные позвонки (vertebrae cervicales) испытывают меньшую нагрузку по срав­ нению с остальными отделами позвоночника, поэтому они имеют небольшое тело. Поперечные отростки у шейных позвонков имеют отверстия поперечных отростков I   foramina processuum transversorum), через которые крупные позвоночные артерии направляются к головному мозгу. Каждый поперечный отросток заканчивается гередним и задним бугорками (tuberculum anterius et tuberculum posterius). Хорошо вы­ раженный передний бугорок VI шейного позвонка называется сонным бугорком (tur'erculum caroticum). К нему при необходимости может быть прижата общая сонная артерия, проходящая рядом. Суставные и остистые отростки шейных позвонков ко­ роткие (последние раздвоены на конце). Остистый отросток VII шейного позвонка длиннее и толще, чем у соседних позвонков. Он легко может быть прощупан у чело­ века, поэтому этот позвонок называют выступающим позвонком (vertebra prominens).",,
"Какую роль играет рот в пищеварении, включая контроль запаха, вкуса и механического размельчения пищи?",,,"- · Рот очень разумно расположен под носом,  что позволяет контролировать запах  пищи  перед ее  употреблением. Второй контроль осуществляется при помощи  вкуса, который, оценивая химическую структуру  пищи,  может  интуитивно  или  благодаря некоторому  опыту  помешать  проглатыванию вредных  или токсичных  продуктов.
- · Роль носа заключается  в  контроле,  фильтрации  и обогревании вдыхаемого воздуха. Дыхательные пути пересекаются  с  пищеварительным  трактом  на  уровне глотки и гортани. Гортань играет роль защитного клапана и предотвращает тем самым попадание крупных предметов или жидкости в дыхательные пути.

Однако гортань, физиологию  которой  мы  подробно  рассматривали  (см.  с.  194),  еще  участвует  в  звукообразовании, за которым следует артикуляция с  помощью  рта  и  языка,  что  в  итоге  осуществляет|Роль носа заключается в контроле, фильтрации и отогревании вдыхаемого воздуха, его роль как фильтра обязательна.  В  связи с  расположением  носовых  ходов, передним  положением  легких и задним положением  пищевода, дыхательные  пути  пересекают  пищеварительный  тракт  на  уровне  глотки и  гортани. Гортань  с  помощью  экстренного  механизма  закрытия голосовой  щели и надгортанника играет роль защитного  клапана, предотвращая  попадание  малейшего  твердого  предмета  или  жидкости  в  дыхательные  пути.  Но гортань, физиологию которой  мы уже рассматривали, еще имеет большое значение  при фонации у  человека,  создавая  звуки, которые  затем  подвергаются  артикуляции  во рту и с помощью  языка.  Человек  употребляет  звуковые способы  коммуникации, язык, что  позволяет  ему обмениваться  информацией и чувствами.|Подвижность  головы,  обеспеченная шейным  отделом позвоночника, позволяет направлять в нужном  направлении  органы  чувств и  повышать их  эффективность. В черепной  коробке мозжечок является  главным  элементом  координации  и  сбора команд,  приходящих  из  всего  мозга.  Головной  мозг принимает решения , мозжечок позволяет им исполняться.

Кроме  того,  голова  содержит два  входных  отверстия (рис. 14): рот для пищи и нос для воздуха.

Рот очень  разумно  расположен под носом, обеспечивая первый  контроль запаха  пищи перед  ее проглатыванием. Второй  контроль обеспечивается вкусом, который,  определяя  химическую  природу продукта,  может  интуитивно  или  благодаря  некоторому  опыту  предотвратить  проглатывание  вредных|Структура  черепа объединяет  вместе  (рис. 12 и 13) головной мозг,  наш центральный компьютер, поддерживающий  нашу  индивидуальность, черепную коробку (синяя  линия)  и лицевой  скелет (красная линия),  на  котором  расположены  главные органы чувств: зрение,  слух,  вкус,  обоняние, - которые  помогают  нам  ориентироваться  в  окружающей  среде. Близость  органов  чувств  к  головному  мозгу,  который  обрабатывает  сигналы, снижает  время  передачи этих самых сигналов.  Это иллюстрация принципа всеобщей  экономии  Оккама,  который  гласит,  что максимальная  эффективность  должна  достигаться минимумом  структур.

или  токсичных  веществ.  Благодаря жеванию, проистекающему  из активных  движений  нижней  челюсти, рот также является аппаратом дробления и толчения, измельчающим  пищу,  обволакивающим ее  слюной для  возможности  ее  усвоения.|фонацию. Человек  употребляет  звуковые  способы коммуникации, язык, что  позволяет  ему  обмениваться  информацией  и  чувствами.  Такая  звуковая передача  информации  продолжается  в письменную. Голова также содержит мышцы и суставы, но  особенного  вида.  Эти  мышцы,  называемые лицевыми, не  приводят в движение  ни одного костного  элемента.  Они хорошо изучены Дюшаном де Булонь (Duchenne  de  Boulogne). Выражение  чувств  на  лице  возможно благодаря лицевым  мышцам.  Таким образом, они  являются  инструментом второй  коммуникационной  системы, почти  интернациональной,  дополненной  языком. Круговые  мышцы контролируют отверстия  лица: круговая мышца рта закрывает  рот, круговая мышца  глаз закрывает  глаза.  Однако  существует  только  одна  мышца, расширяющая  ноздри. Что  касается  наружного  уха,  вход  в  него  остается всегда  открытым,  а  улавливать  звуки  ему  помогает ушная  раковина,  которая  у  человека  потеряла  возможность изменять положение в поиске звука в отличие  от  животных.",,
"Когда и какие добавочные центры окостенения образуются в эпифизах трубчатых костей, и как они влияют на формирование отростков, бугров и гребней?",,,"вине внутриутробного периода. Вторичные центры образуются в эпифизах трубчатых костей в самом конце внутриутробной жизни и некоторое время после рождения (до 17-18 лет). За счет добавочных центров окостенения у костей образуются отростки, бугры и гребни. При появлении центров окостенения (сначала в диафизах, а затем в эпифизах) между ними сохраняется прослойка хряща (эпифизарный хрящ), благо­ даря которому кость растет в длину. Эпифизарный хрящ замещается костной тка­ нью к 18- 20 годам. Рост кости в толщину осуществляется за счет внутреннего слоя надкостницы. Костномозговая полость (костномозговой канал) трубчатых костей образуется внутри диафиза во время рассасывания (резорбции) энхондрально об­ разовавшейся кости. Сроки появления центров окостенения у костей конечностей представлены в табл. 2.

Т а б л и ц а 2 Точки окостенения костей конечностей человека, появляющиеся после рождения|Выделяют несколько способов образования костей при хрящевом остеогенезе.  Если окостенение проис­ ходит в толще хряща, оно называется энхондральным остеогенезом, если по периферии хряща (с участием надхрящницы, приобретающей остеогенные свой­ ства) перихондралъным. В толще хряща образуются одна или несколько точек окостенения. Возле пророс­ ших в хрящ соединительнотканных волокон и крове­ носных сосудов молодые костные клетки (остеобласты) образуют костные балки, которые, увеличиваясь в раз­ мерах, разрастаются в разных направлениях.  Остео­ бласты превращаются в зрелые костные клетки - остеоциты, в конечном итоге образуется кость.

В зависимости от сроков появления в хрящевых моделях костной ткани выделяют основные (первич­ ные) и добавочные (вторичные) центры, или точки окостенения (puncta ossificationes). Первичные центры окостенения образуются в диафизах трубчатых костей, во многих губчатых и смешанных костях в первой поло-|Рис. 32. Расположение костных перекладин (балок) в губчатом веществе по линии сжатия и растяжения:

1   - линии сжатия; 2 - линии растяжения.

1

Рис. 33. Строение диафиза трубчатой кости и положение его надкостницы:

1   - надкостница; 2 - компакт­ ное вещество; 3 - костномоз­ говая полость.

которых кость растет в толщину и регенерирует после повреждения. Таким образом, надкостница выполняет не только защитную и трофическую функции, но и, по­ добно эндосту, участвует в костеобразовании.|| Кость              | Место появления точки окостенения    | Срок появления точки окостенения        | Срок сращения с телом кости (годы)   |
|--------------------|--------------------------------------|-----------------------------------------|--------------------------------------|
| Малоберцовая кость | Проксимальный эпифиз                 | 2-6 лет                                 | 17-25                                |
| Малоберцовая кость | Дистальный эпифиз                    | 3 мес-3 года                            | 15-25                                |
| Предплюсна         | Пяточная, таранная, кубовидная кости | 5-й месяц пренатального периода - 1 год | 12-22                                |
| Предплюсна         | Пяточный бугор                       | 5-12 лет                                | 12-22                                |
| Предплюсна         | Латеральная клиновидная кость        | 9-й месяц пренатального периода -5лет   | 12-22                                ||| Кость                | Место появления точки окостенения                 | Срок появления точки окостенения                           | Срок сращения с телом кости (годы)   |
|----------------------|---------------------------------------------------|------------------------------------------------------------|--------------------------------------|
| Лучевая кость        | Проксимальный эпифиз                              | 2,5-10 лет                                                 | 13-21                                |
| Лучевая кость        | Дистальный эпифиз                                 | 4-9 лет                                                    | 15-25                                |
| Запястье             | Головчатая кость                                  | 1 год                                                      | 15-25                                |",,
What is an osteon and how is it structured?,,,"Кости туловища входят в состав осевого скелета. Они представлены позвоноч­ ным столбом, или позвоночником, костями грудины и ребер. Позвоночный столб (columna vertebralis) (рис.  34) образован 33- 34 позвонками. Различают 7 шейных, 12 грудных, 5 поясничных позвонков. Пять крестцовых позвонков срастаются и об­ разуют единую кость - крестец (крестцовую кость). Копчик состоит из 3- 5 коп­ чиковых позвонков.

## Позвонки

Позвонок (vertebra)  имеет  тело  и  дугу (рис.  35). Тело позвонка (corpus vertebrae) об­ ращено кпереди и служит его опорной ча­ стью. Дуга позвонка (arcus vertebrae)  соеди­ няется сзади с телом позвонка при помощи ножек дуги позвонка.  Между телом и дугой

Рис. 34. Позвоночный столб:

А - вид спереди; Б - вид сзади; В - вид сбоку (сле­ ва): I - шейный отдел; II - грудной отдел; III - по­ ясничный отдел; IV - крестцовый отдел; V - копчи­ ковый отдел. 1,3 - шейный и поясничный лордозы; 2,4 - грудной и крестцовый кифозы; 5 - мыс.

Рис. 35. Строение грудного позвонка:|Начальные признаки старения в костях проявляются в виде появления на пе­ риферии суставных поверхностей костных выступов краевых остеофитов. Для кисти они наиболее типичны в области головок средних фаланг. Позже остеофиты появляются у основания средних и дистальных фаланг пальцев. Рост и старение кос­ тей зависит от многих факторов - как состояния самого организма (образа жизни), так и влияния внешней среды.

## Вопросы для повторения и самоконтроля

- 1. Назовите функции опорно-двигательного аппарата.
- 2. Что такое осевой и добавочный скелет?
- 3. Что такое мягкий скелет?
- 4. Расскажите о классификации костей и приведите примеры.
- 5. Каков химический состав кости?
- 6. Что такое остеон и как он устроен?
- 7. Назовите функции и особенности строения надкостницы.
- 8. Какие существуют способы остеогенеза?

## КОСТИ ТУЛОВИЩА|Позвонки из разных отделов позвоночного столба при общем плане строения имеют свои конструктивно-функциональные особенности.|Костные  швы, которые  сочленяют  друг  с  другом кости  черепа  (рис.  2),  имеют крайне  извилистые рисунки, которые  после закрытия (рис.  3)  отражают все  движения плоскости  костных  пластин. Сравнение  с головоломкой-пазлом (рис.  4)  показывает связь  между  костями,  как  между  элементами  головоломки  (рис. 5),  при  условии,  что  они остаются в одной плоскости , т.е., например, на  столе. Это разумное  объяснение,  которое  позволяет  классическим  анатомам  сказать,  что  швы абсолютно лишены  подвижности.|Черепная коробка образована костными пластинками, содержащими губчатое  вещество в  центре,  покрытое двумя мощными кортикальными пластинками, наружной (эпикраниальной) и внутренней (эндокраниальной).  На уровне основания  черепа эти  пластинки  объединяются с более мощными элементами, образуя связи с лицевым скелетом и шейным отделом позвоночника.

Черепная  коробка овальной формы,  образована 6 костными пластинами:",,
Каково сравнение функциональных и структурных особенностей носа с другими респираторными органами в плане фильтрации воздуха?,,,"Роль носа заключается в контроле, фильтрации и отогревании вдыхаемого воздуха, его роль как фильтра обязательна.  В  связи с  расположением  носовых  ходов, передним  положением  легких и задним положением  пищевода, дыхательные  пути  пересекают  пищеварительный  тракт  на  уровне  глотки и  гортани. Гортань  с  помощью  экстренного  механизма  закрытия голосовой  щели и надгортанника играет роль защитного  клапана, предотвращая  попадание  малейшего  твердого  предмета  или  жидкости  в  дыхательные  пути.  Но гортань, физиологию которой  мы уже рассматривали, еще имеет большое значение  при фонации у  человека,  создавая  звуки, которые  затем  подвергаются  артикуляции  во рту и с помощью  языка.  Человек  употребляет  звуковые способы  коммуникации, язык, что  позволяет  ему обмениваться  информацией и чувствами.|- · Рот очень разумно расположен под носом,  что позволяет контролировать запах  пищи  перед ее  употреблением. Второй контроль осуществляется при помощи  вкуса, который, оценивая химическую структуру  пищи,  может  интуитивно  или  благодаря некоторому  опыту  помешать  проглатыванию вредных  или токсичных  продуктов.
- · Роль носа заключается  в  контроле,  фильтрации  и обогревании вдыхаемого воздуха. Дыхательные пути пересекаются  с  пищеварительным  трактом  на  уровне глотки и гортани. Гортань играет роль защитного клапана и предотвращает тем самым попадание крупных предметов или жидкости в дыхательные пути.

Однако гортань, физиологию  которой  мы  подробно  рассматривали  (см.  с.  194),  еще  участвует  в  звукообразовании, за которым следует артикуляция с  помощью  рта  и  языка,  что  в  итоге  осуществляет|Позвонки из разных отделов позвоночного столба при общем плане строения имеют свои конструктивно-функциональные особенности.|Подвижность  головы,  обеспеченная шейным  отделом позвоночника, позволяет направлять в нужном  направлении  органы  чувств и  повышать их  эффективность. В черепной  коробке мозжечок является  главным  элементом  координации  и  сбора команд,  приходящих  из  всего  мозга.  Головной  мозг принимает решения , мозжечок позволяет им исполняться.

Кроме  того,  голова  содержит два  входных  отверстия (рис. 14): рот для пищи и нос для воздуха.

Рот очень  разумно  расположен под носом, обеспечивая первый  контроль запаха  пищи перед  ее проглатыванием. Второй  контроль обеспечивается вкусом, который,  определяя  химическую  природу продукта,  может  интуитивно  или  благодаря  некоторому  опыту  предотвратить  проглатывание  вредных|Таким  образом,  голова  представляет  собой  великолепный  пример функциональной  интеграции. Также голова  имеет суставы,  височно-нижнечелюстные, а еще мышцы особенного строения.  Мышцы, выражающие мимику, которые  являются  инструментом второй  системы  коммуникации, почти интернациональной, включающей и  язык.

## Поле зрения и локализация звуков

Голова расположена на вершине шейного отдела позвоночника,  что  позволяет ей поворачиваться  почти  на  180°. Это  огромное  преимущество для  увеличения эффективности зрения и слуха.  Это вращение позволяет располагать голову таким образом, чтобы органы  чувств  находились  в  направлении  источника сигнала без необходимости  двигать все тело. Подобное  преимущество  неведомо  животным,  не  имеющим  шеи,  например рыбам.

## Поле  зрения",,
Как структура черепа сравнивается со структурой лицевого скелета в отношении защиты мозга и чувствительных органов?,,,"Структура  черепа объединяет  вместе  (рис. 12 и 13) головной мозг,  наш центральный компьютер, поддерживающий  нашу  индивидуальность, черепную коробку (синяя  линия)  и лицевой  скелет (красная линия),  на  котором  расположены  главные органы чувств: зрение,  слух,  вкус,  обоняние, - которые  помогают  нам  ориентироваться  в  окружающей  среде. Близость  органов  чувств  к  головному  мозгу,  который  обрабатывает  сигналы, снижает  время  передачи этих самых сигналов.  Это иллюстрация принципа всеобщей  экономии  Оккама,  который  гласит,  что максимальная  эффективность  должна  достигаться минимумом  структур.

или  токсичных  веществ.  Благодаря жеванию, проистекающему  из активных  движений  нижней  челюсти, рот также является аппаратом дробления и толчения, измельчающим  пищу,  обволакивающим ее  слюной для  возможности  ее  усвоения.|Череп  гоминидов,  в  частности  высших  приматов, и  особенно  человека,  представляет  собой  характерную структуру, возникшую в результате перехода к вертикальному  положению. У  животных,  например у собак (рис.  10,  синий  контур -  черепная  коробка, красный  -  лицевой  скелет),  хождение  на  четырех конечностях приводит к почти горизонтальному положению  шейного  отдела  позвоночника,  откуда следует нижнезаднее расположение затылочного отверстия.  В  противовес  этому  у прямоходящих и человека (рис.  11) в ходе эволюции произошло смещение большого затылочного отверстия в передненижнее  положение, и  оно  находится непосредственно под черепной коробкой.

## Череп и лицевой скелет|Чтобы  полнее  описать  кости  черепа,  следует  упомянуть о таких маленьких костях,  как сошник, слезная кость и нижняя носовая раковина, которые не входят в состав данной структуры и не показаны на рисунке.

Рисунок создан благодаря Andras Szunyoghi.

## Черепные швы

Кроме верхнечелюстных и нижнечелюстной костей, кости  черепа сочленяются друг с другом с помощью швов. У  эмбриона  и  новорожденного  кости  черепа остаются относительно  подвижными  по  отношению  друг  к  другу, поскольку  они  соединены  родничками.  Например,  большой  передний  родничок, который  полностью  оссифицируется только с  восьмого  до  восемнадцатого  месяца.  Подвижность  костей  черепа  у  грудных  детей  объясняется быстрым увеличением объема мозга после рождения. Следовательно,  рост  костей  сопровождается  и  ростом мозга вплоть до подросткового периода,  когда  череп достигает  своего  окончательного  развития.|Также существуют кости, функция которых  заключается  в  передаче  вибрации между  барабанной перепонкой и внутренним ухом, цепь трех слуховых косточек (описание  их  находится  в разработке).

К тому  же  имеются два  синовиальных  сустава, височно-нижнечелюстные  суставы, обеспечивающие движения нижнечелюстной кости, необходимые для  питания  и  фонации.  Наконец,  стоит  отметить наличие двух бескостных суставов -сочленения глазных  яблок  с  глазницами, обеспечивающего направление  взгляда.

На  следующих  страницах  (см.  с.  306)  мы  опишем височно-нижнечелюстной сустав и подвижность глазных яблок (см. с.  318).

## Череп

Скелет  головы  (рис.  1)  образован двадцатью  двумя плоскими  костями , производными  косточек  первых двенадцати сегментов тела эмбриона, но значительно измененных по причине специфичности их функции образование черепной  коробки и лицевого скелета.|Черепная коробка образована костными пластинками, содержащими губчатое  вещество в  центре,  покрытое двумя мощными кортикальными пластинками, наружной (эпикраниальной) и внутренней (эндокраниальной).  На уровне основания  черепа эти  пластинки  объединяются с более мощными элементами, образуя связи с лицевым скелетом и шейным отделом позвоночника.

Черепная  коробка овальной формы,  образована 6 костными пластинами:",,
